"Scientific Name","Common Name","Node ID","OGT","FTP","UILT","CTMax","OS","OE","Spawning Season"
"Luxilus cornutus","Common Shiner",1,25.7,21.9,30.4,31.2,20.1,21.7,"Spring"
"Umbra limi","Central Mudminnow",2,25.1,24.5,33.5,34.3,19,17.2,"Spring"
"Esox niger","Chain Pickerel",3,25.9,25.5,36.7,35,9.7,9,"Spring"
"Esox americanus vermiculatus","Grass Pickerel",5,25.9,25.7,30.2,30.9,9.5,8.4,"Spring"
"Esox masquinongy","Muskellunge",6,25.1,25.4,32.2,32,12.8,13.5,"Spring"
"Esox lucius","Northern Pike",7,23,20.7,31,32.6,11.5,12.1,"Spring"
"Osmerus mordax","Rainbow Smelt",8,15.9,11.2,21.7,26.7,8.4,14.3,"Spring"
"Morone saxatilis","Striped Bass",9,21.7,17.7,28.8,25.9,16.8,18.2,"Spring"
"Morone chrysops","White Bass",10,28.3,27.3,33.5,35.3,15.5,17.5,"Spring"
"Morone americana","White Perch",11,28.5,29.8,36,37.4,17.5,20,"Spring"
"Acipenser fulvescens","Lake Sturgeon",14,19,11,26.4,27.3,15,14.5,"Spring"
"Salvelinus namaycush","Lake Trout",22,10,11.8,24.3,26.6,8.5,5.7,"Fall"
"Salvelinus fontinalis","Brook Trout",24,14.2,14.8,24.9,29.3,10.7,6.1,"Fall"
"Oncorhynchus nerka","Sockeye Salmon",29,15,13.7,27.8,27.7,8.6,8.3,"Fall"
"Sander vitreus","Walleye",34,22.1,22.5,29.7,23.4,7.7,15.3,"Spring"
"Sander canadensis","Sauger",35,22,19.6,29.7,31.6,10.3,13.5,"Spring"
"Perca flavescens","Yellow Perch",36,25.4,17.6,25.6,35,9.1,15,"Spring"
"Pomoxis nigromaculatus","Black Crappie",42,18,23.4,33.3,34.9,19.2,18.2,"Spring"
"Pomoxis annularis","White Crappie",43,22.5,19.1,31.3,32.8,17,19.2,"Spring"
"Ambloplites rupestris","Rock Bass",44,28.4,24.9,33.9,36,22.2,22.5,"Spring"
"Micropterus salmoides","Largemouth Bass",45,26.6,28.6,31.9,38.4,19.2,20,"Spring"
"Micropterus dolomieu","Smallmouth Bass",46,26,25,36,36.3,18,21,"Spring"
"Lepomis megalotis","Longear Sunfish",47,25.1,22.5,32.3,33.9,20.4,22.2,"Spring"
"Lepomis gibbosus","Pumpkinseed",48,25,27.7,31.7,37.6,20.6,28,"Spring"
"Lepomis macrochirus","Bluegill",49,29.2,30.2,32.2,40.2,25,23,"Spring"
"Lepomis humilis","Orangespotted Sunfish",50,24.5,20.5,31.7,32.8,20,19.9,"Spring"
"Lepomis cyanellus","Green Sunfish",51,28,25.4,40,36,21.9,29.1,"Spring"
"Percopsis omiscomaycus","Trout-Perch",52,17.5,13.4,26,22.9,7.1,10.6,"Spring"
"Cottus cognatus","Slimy Sculpin",56,12.2,11,22.8,26.1,7.3,9.8,"Spring"
"Labidesthes sicculus","Brook Silverside",58,25.4,24.5,30.6,34.2,20,20.6,"Spring"
"Culaea inconstans","Brook Stickleback",60,20.5,21.3,30.6,31.7,13.1,18.3,"Spring"
"Fundulus diaphanus","Banded Killifish",64,24.6,23,31.7,33.8,23,24.4,"Spring"
"Lepisosteus oculatus","Spotted Gar",66,22.1,16,28.9,30.1,23.5,23.2,"Spring"
"Lepisosteus osseus","Longnose Gar",67,26.4,27.4,32.2,35.3,22.6,22.4,"Spring"
"Anguilla rostrata","American Eel",68,25,19.9,29.5,31.6,15.2,19.1,"Spring"
"Ictalurus punctatus","Channel Catfish",69,29.5,27.3,32.9,36.7,25,22.9,"Spring"
"Ameiurus nebulosus","Brown Bullhead",70,30,26.2,33.4,37.9,21.1,22.8,"Spring"
"Ameiurus melas","Black Bullhead",71,29.4,26.1,35.4,37.5,20.5,22.2,"Spring"
"Ameiurus natalis","Yellow Bullhead",72,28.3,28.2,33.5,36.4,22.5,21.8,"Spring"
"Noturus flavus","Stonecat",74,24.2,15.3,29.7,29,27.8,26.6,"Spring"
"Noturus miurus","Bridled Madtom",75,27.7,25.9,33.9,36.1,23,25,"Spring"
"Amia calva","Bowfin",76,29.4,30.3,35.1,37,17.5,19,"Spring"
"Lota lota","Burbot",77,16.6,13.2,23.3,27.7,1.2,7.5,"Spring"
"Hiodon tergisus","Mooneye",78,27.8,28,33.8,36.3,20.7,20.7,"Spring"
"Hiodon alosoides","Goldeye",79,20.8,17.7,28.2,30.6,11.4,14.8,"Spring"
"Aplodinotus grunniens","Freshwater Drum",80,22,24.6,32.8,34,21,23.9,"Spring"
"Dorosoma cepedianum","Gizzard Shad",81,17,20.7,35.5,31.7,22,22.2,"Spring"
"Alosa pseudoharengus","Alewife",83,20.1,16.9,23.1,31.3,13.8,17.8,"Spring"
"Moxostoma macrolepidotum","Shorthead Redhorse",85,25.5,26.8,31.9,35.1,14,15.6,"Spring"
"Moxostoma anisurum","Silver Redhorse",86,23.3,19.3,29,31.7,13.4,15.1,"Spring"
"Catostomus commersonii","White Sucker",89,25.5,23.4,27.8,31.6,15.8,15,"Spring"
"Catostomus catostomus","Longnose Sucker",90,20.4,11.1,26.8,27.9,10,12.5,"Spring"
"Hypentelium nigricans","Northern Hog Sucker",91,25.6,27,29.8,30.8,17.5,17.4,"Spring"
"Ictiobus cyprinellus","Bigmouth Buffalo",92,23.1,19.8,29.7,31.8,17,20.5,"Spring"
"Carpiodes cyprinus","Quillback",93,23.4,20.5,30,37.2,18.2,17.7,"Spring"
"Semotilus atromaculatus","Creek Chub",98,24.4,24.9,29.1,33,20,20.7,"Spring"
"Couesius plumbeus","Lake Chub",99,26.1,27,33.2,35.7,14.5,21.7,"Spring"
"Clinostomus elongatus","Redside Dace",100,25.9,21.4,32,33.7,17.6,19.6,"Spring"
"Campostoma anomalum","Central Stoneroller",104,24.8,23.9,31,34.3,21.2,20.4,"Spring"
"Notropis hudsonius","Spottail Shiner",115,27.3,16.6,33,33.2,19,20,"Spring"
